Music;Household
accordion;ashtray
acousticguitar;ballofstring
balalaika;barbecuelighter
banjo;basket
bassdrum;bleachbottle
bassguitar;blender
cello;bottle
chime;broom
clarinet;bucket
cornet;clock
cymbal;clothesdryingrack
doublebass;clothespin
drums;coffee
electricdrumset;cushion
electricguitar;dishsoap
flute;doormat
flutetrans;dustpan
frenchhorn;flyswatter
gong;garbagebin
grandpiano;glass
guitarcase;glassmop
harmonica;hairdryer
harp;handbrush
hihat;handvacuum
keyboard;iron
laud;ironingboard
maraca;key
marimba;knife
metronome;lintroller
musicsheet;match
musicstand;pan
oboe;pitcher
panflute;recyclingbin
pipepiano;remote
record;rubbergloves
record_player;rug
saxophone;safetypin
speaker;saw
tambourine;scale
timbal;sponge
triangle;spraybottle
trombone;teapot
trumpet;thermometer
tuba;thread
violin;towel
vuvuzela;vacuumcleaner
xylophone;wateringcan
